School, Degree, Status, GPA, Start date, End date
California Polytechnic State University, BS Software Engineering , Graduated, 3.3, 08/2017, 06/2021
University of San Diego, MS Applied Artificial Intelligence, Enrolled, 3.9, 05/2024, 12/2025
